Units,Year,Location,Provider,Funding
393,2019-20,Wales,Local Authorities,Total
57,2019-20,Wales,Local Authorities,Capital Grant Funded
336,2019-20,Wales,Local Authorities,Non-Capital Grant Funded
2470,2019-20,Wales,Registered Social Landlords,Total
1754,2019-20,Wales,Registered Social Landlords,Capital Grant Funded
716,2019-20,Wales,Registered Social Landlords,Non-Capital Grant Funded
7,2019-20,Isle of Anglesey,Isle of Anglesey,Total
0,2019-20,Isle of Anglesey,Isle of Anglesey,Capital Grant Funded
7,2019-20,Isle of Anglesey,Isle of Anglesey,Non-Capital Grant Funded
20,2019-20,Isle of Anglesey,Registered Social Landlords,Total
20,2019-20,Isle of Anglesey,Registered Social Landlords,Capital Grant Funded
0,2019-20,Isle of Anglesey,Registered Social Landlords,Non-Capital Grant Funded
0,2019-20,Isle of Anglesey,Clwyd Alyn Housing Association,Total
0,2019-20,Isle of Anglesey,Clwyd Alyn Housing Association,Capital Grant Funded
0,2019-20,Isle of Anglesey,Clwyd Alyn Housing Association,Non-Capital Grant Funded
20,2019-20,Isle of Anglesey,Grwp Cynefin,Total
20,2019-20,Isle of Anglesey,Grwp Cynefin,Capital Grant Funded
0,2019-20,Isle of Anglesey,Grwp Cynefin,Non-Capital Grant Funded
0,2019-20,Isle of Anglesey,North Wales Housing Association,Total
0,2019-20,Isle of Anglesey,North Wales Housing Association,Capital Grant Funded
0,2019-20,Isle of Anglesey,North Wales Housing Association,Non-Capital Grant Funded
0,2019-20,Gwynedd,Gwynedd,Total
0,2019-20,Gwynedd,Gwynedd,Capital Grant Funded
0,2019-20,Gwynedd,Gwynedd,Non-Capital Grant Funded
97,2019-20,Gwynedd,Registered Social Landlords,Total
55,2019-20,Gwynedd,Registered Social Landlords,Capital Grant Funded
42,2019-20,Gwynedd,Registered Social Landlords,Non-Capital Grant Funded
0,2019-20,Gwynedd,Clwyd Alyn Housing Association,Total
0,2019-20,Gwynedd,Clwyd Alyn Housing Association,Capital Grant Funded
0,2019-20,Gwynedd,Clwyd Alyn Housing Association,Non-Capital Grant Funded
8,2019-20,Gwynedd,Grwp Cynefin,Total
8,2019-20,Gwynedd,Grwp Cynefin,Capital Grant Funded
0,2019-20,Gwynedd,Grwp Cynefin,Non-Capital Grant Funded
0,2019-20,Gwynedd,First Choice Housing Association,Total
0,2019-20,Gwynedd,First Choice Housing Association,Capital Grant Funded
0,2019-20,Gwynedd,First Choice Housing Association,Non-Capital Grant Funded
0,2019-20,Gwynedd,North Wales Housing Association,Total
0,2019-20,Gwynedd,North Wales Housing Association,Capital Grant Funded
0,2019-20,Gwynedd,North Wales Housing Association,Non-Capital Grant Funded
0,2019-20,Gwynedd,Abbeyfield Wales,Total
0,2019-20,Gwynedd,Abbeyfield Wales,Capital Grant Funded
0,2019-20,Gwynedd,Abbeyfield Wales,Non-Capital Grant Funded
42,2019-20,Gwynedd,Cartrefi Conwy,Total
0,2019-20,Gwynedd,Cartrefi Conwy,Capital Grant Funded
42,2019-20,Gwynedd,Cartrefi Conwy,Non-Capital Grant Funded
47,2019-20,Gwynedd,Adra,Total
47,2019-20,Gwynedd,Adra,Capital Grant Funded
0,2019-20,Gwynedd,Adra,Non-Capital Grant Funded
0,2019-20,Conwy,Conwy,Total
0,2019-20,Conwy,Conwy,Capital Grant Funded
0,2019-20,Conwy,Conwy,Non-Capital Grant Funded
79,2019-20,Conwy,Registered Social Landlords,Total
43,2019-20,Conwy,Registered Social Landlords,Capital Grant Funded
36,2019-20,Conwy,Registered Social Landlords,Non-Capital Grant Funded
0,2019-20,Conwy,Clwyd Alyn Housing Association,Total
0,2019-20,Conwy,Clwyd Alyn Housing Association,Capital Grant Funded
0,2019-20,Conwy,Clwyd Alyn Housing Association,Non-Capital Grant Funded
0,2019-20,Conwy,Abbeyfield Colwyn Bay,Total
0,2019-20,Conwy,Abbeyfield Colwyn Bay,Capital Grant Funded
0,2019-20,Conwy,Abbeyfield Colwyn Bay,Non-Capital Grant Funded
4,2019-20,Conwy,Grwp Cynefin,Total
0,2019-20,Conwy,Grwp Cynefin,Capital Grant Funded
4,2019-20,Conwy,Grwp Cynefin,Non-Capital Grant Funded
6,2019-20,Conwy,First Choice Housing Association,Total
6,2019-20,Conwy,First Choice Housing Association,Capital Grant Funded
0,2019-20,Conwy,First Choice Housing Association,Non-Capital Grant Funded
0,2019-20,Conwy,Abbeyfield Llanrwst,Total
0,2019-20,Conwy,Abbeyfield Llanrwst,Capital Grant Funded
0,2019-20,Conwy,Abbeyfield Llanrwst,Non-Capital Grant Funded
12,2019-20,Conwy,North Wales Housing Association,Total
12,2019-20,Conwy,North Wales Housing Association,Capital Grant Funded
0,2019-20,Conwy,North Wales Housing Association,Non-Capital Grant Funded
0,2019-20,Conwy,Abbeyfield Wales,Total
0,2019-20,Conwy,Abbeyfield Wales,Capital Grant Funded
0,2019-20,Conwy,Abbeyfield Wales,Non-Capital Grant Funded
0,2019-20,Conwy,Wales and West Housing,Total
0,2019-20,Conwy,Wales and West Housing,Capital Grant Funded
0,2019-20,Conwy,Wales and West Housing,Non-Capital Grant Funded
36,2019-20,Conwy,Cartrefi Conwy,Total
25,2019-20,Conwy,Cartrefi Conwy,Capital Grant Funded
11,2019-20,Conwy,Cartrefi Conwy,Non-Capital Grant Funded
21,2019-20,Conwy,Adra,Total
0,2019-20,Conwy,Adra,Capital Grant Funded
21,2019-20,Conwy,Adra,Non-Capital Grant Funded
33,2019-20,Denbighshire,Denbighshire,Total
9,2019-20,Denbighshire,Denbighshire,Capital Grant Funded
24,2019-20,Denbighshire,Denbighshire,Non-Capital Grant Funded
86,2019-20,Denbighshire,Registered Social Landlords,Total
76,2019-20,Denbighshire,Registered Social Landlords,Capital Grant Funded
10,2019-20,Denbighshire,Registered Social Landlords,Non-Capital Grant Funded
34,2019-20,Denbighshire,Clwyd Alyn Housing Association,Total
34,2019-20,Denbighshire,Clwyd Alyn Housing Association,Capital Grant Funded
0,2019-20,Denbighshire,Clwyd Alyn Housing Association,Non-Capital Grant Funded
15,2019-20,Denbighshire,Grwp Cynefin,Total
15,2019-20,Denbighshire,Grwp Cynefin,Capital Grant Funded
0,2019-20,Denbighshire,Grwp Cynefin,Non-Capital Grant Funded
0,2019-20,Denbighshire,First Choice Housing Association,Total
0,2019-20,Denbighshire,First Choice Housing Association,Capital Grant Funded
0,2019-20,Denbighshire,First Choice Housing Association,Non-Capital Grant Funded
0,2019-20,Denbighshire,North Wales Housing Association,Total
0,2019-20,Denbighshire,North Wales Housing Association,Capital Grant Funded
0,2019-20,Denbighshire,North Wales Housing Association,Non-Capital Grant Funded
0,2019-20,Denbighshire,Abbeyfield Wales,Total
0,2019-20,Denbighshire,Abbeyfield Wales,Capital Grant Funded
0,2019-20,Denbighshire,Abbeyfield Wales,Non-Capital Grant Funded
23,2019-20,Denbighshire,Wales and West Housing,Total
23,2019-20,Denbighshire,Wales and West Housing,Capital Grant Funded
0,2019-20,Denbighshire,Wales and West Housing,Non-Capital Grant Funded
14,2019-20,Denbighshire,Cartrefi Conwy,Total
4,2019-20,Denbighshire,Cartrefi Conwy,Capital Grant Funded
10,2019-20,Denbighshire,Cartrefi Conwy,Non-Capital Grant Funded
0,2019-20,Denbighshire,Adra,Total
0,2019-20,Denbighshire,Adra,Capital Grant Funded
0,2019-20,Denbighshire,Adra,Non-Capital Grant Funded
47,2019-20,Flintshire,Flintshire,Total
0,2019-20,Flintshire,Flintshire,Capital Grant Funded
47,2019-20,Flintshire,Flintshire,Non-Capital Grant Funded
37,2019-20,Flintshire,Registered Social Landlords,Total
37,2019-20,Flintshire,Registered Social Landlords,Capital Grant Funded
0,2019-20,Flintshire,Registered Social Landlords,Non-Capital Grant Funded
1,2019-20,Flintshire,Clwyd Alyn Housing Association,Total
1,2019-20,Flintshire,Clwyd Alyn Housing Association,Capital Grant Funded
0,2019-20,Flintshire,Clwyd Alyn Housing Association,Non-Capital Grant Funded
36,2019-20,Flintshire,Grwp Cynefin,Total
36,2019-20,Flintshire,Grwp Cynefin,Capital Grant Funded
0,2019-20,Flintshire,Grwp Cynefin,Non-Capital Grant Funded
0,2019-20,Flintshire,First Choice Housing Association,Total
0,2019-20,Flintshire,First Choice Housing Association,Capital Grant Funded
0,2019-20,Flintshire,First Choice Housing Association,Non-Capital Grant Funded
0,2019-20,Flintshire,Abbeyfield Wales,Total
0,2019-20,Flintshire,Abbeyfield Wales,Capital Grant Funded
0,2019-20,Flintshire,Abbeyfield Wales,Non-Capital Grant Funded
0,2019-20,Flintshire,Wales and West Housing,Total
0,2019-20,Flintshire,Wales and West Housing,Capital Grant Funded
0,2019-20,Flintshire,Wales and West Housing,Non-Capital Grant Funded
0,2019-20,Flintshire,Adra,Total
0,2019-20,Flintshire,Adra,Capital Grant Funded
0,2019-20,Flintshire,Adra,Non-Capital Grant Funded
15,2019-20,Wrexham,Wrexham,Total
6,2019-20,Wrexham,Wrexham,Capital Grant Funded
9,2019-20,Wrexham,Wrexham,Non-Capital Grant Funded
10,2019-20,Wrexham,Registered Social Landlords,Total
7,2019-20,Wrexham,Registered Social Landlords,Capital Grant Funded
3,2019-20,Wrexham,Registered Social Landlords,Non-Capital Grant Funded
0,2019-20,Wrexham,Clwyd Alyn Housing Association,Total
0,2019-20,Wrexham,Clwyd Alyn Housing Association,Capital Grant Funded
0,2019-20,Wrexham,Clwyd Alyn Housing Association,Non-Capital Grant Funded
6,2019-20,Wrexham,Grwp Cynefin,Total
4,2019-20,Wrexham,Grwp Cynefin,Capital Grant Funded
2,2019-20,Wrexham,Grwp Cynefin,Non-Capital Grant Funded
0,2019-20,Wrexham,First Choice Housing Association,Total
0,2019-20,Wrexham,First Choice Housing Association,Capital Grant Funded
0,2019-20,Wrexham,First Choice Housing Association,Non-Capital Grant Funded
0,2019-20,Wrexham,North Wales Housing Association,Total
0,2019-20,Wrexham,North Wales Housing Association,Capital Grant Funded
0,2019-20,Wrexham,North Wales Housing Association,Non-Capital Grant Funded
0,2019-20,Wrexham,Ruabon Almshouse,Total
0,2019-20,Wrexham,Ruabon Almshouse,Capital Grant Funded
0,2019-20,Wrexham,Ruabon Almshouse,Non-Capital Grant Funded
4,2019-20,Wrexham,Wales and West Housing,Total
3,2019-20,Wrexham,Wales and West Housing,Capital Grant Funded
1,2019-20,Wrexham,Wales and West Housing,Non-Capital Grant Funded
0,2019-20,Wrexham,Adra,Total
0,2019-20,Wrexham,Adra,Capital Grant Funded
0,2019-20,Wrexham,Adra,Non-Capital Grant Funded
5,2019-20,Powys,Powys,Total
0,2019-20,Powys,Powys,Capital Grant Funded
5,2019-20,Powys,Powys,Non-Capital Grant Funded
70,2019-20,Powys,Registered Social Landlords,Total
63,2019-20,Powys,Registered Social Landlords,Capital Grant Funded
7,2019-20,Powys,Registered Social Landlords,Non-Capital Grant Funded
0,2019-20,Powys,Cadarn Housing Group,Total
0,2019-20,Powys,Cadarn Housing Group,Capital Grant Funded
0,2019-20,Powys,Cadarn Housing Group,Non-Capital Grant Funded
0,2019-20,Powys,Clwyd Alyn Housing Association,Total
0,2019-20,Powys,Clwyd Alyn Housing Association,Capital Grant Funded
0,2019-20,Powys,Clwyd Alyn Housing Association,Non-Capital Grant Funded
1,2019-20,Powys,Grwp Cynefin,Total
0,2019-20,Powys,Grwp Cynefin,Capital Grant Funded
1,2019-20,Powys,Grwp Cynefin,Non-Capital Grant Funded
2,2019-20,Powys,First Choice Housing Association,Total
2,2019-20,Powys,First Choice Housing Association,Capital Grant Funded
0,2019-20,Powys,First Choice Housing Association,Non-Capital Grant Funded
35,2019-20,Powys,Mid Wales Housing Association,Total
35,2019-20,Powys,Mid Wales Housing Association,Capital Grant Funded
0,2019-20,Powys,Mid Wales Housing Association,Non-Capital Grant Funded
1,2019-20,Powys,Newydd Housing Association,Total
1,2019-20,Powys,Newydd Housing Association,Capital Grant Funded
0,2019-20,Powys,Newydd Housing Association,Non-Capital Grant Funded
6,2019-20,Powys,Wales and West Housing,Total
0,2019-20,Powys,Wales and West Housing,Capital Grant Funded
6,2019-20,Powys,Wales and West Housing,Non-Capital Grant Funded
0,2019-20,Powys,Melin Homes,Total
0,2019-20,Powys,Melin Homes,Capital Grant Funded
0,2019-20,Powys,Melin Homes,Non-Capital Grant Funded
25,2019-20,Powys,Pobl Group,Total
